אבה|רצה, הסכים
אבוס|מתקן שמניחים בו מזון לבעלי חיים
אבוקה|לפיד
אביון|עני, דל, רש, מך
אבן נגף|מכשול
אבניים|הגלגל שבעזרתו יוצר הקדר כלי חרס
אגד|פלסטר; צרור, חבילה
אגל|רסיס, טיפה
אדווה|גלים קטנים
אדן|בסיס, יסוד
אדרבה|להיפך, למעשה ההפך הוא הנכון
אדרת|מעיל עליון רחב
אוושה|רעש קל מאוד
אומצה|נתח בשר מטוגן או צלוי
אוצר בלום|אוצר גנוז וחבוי
אור|אש, מדורה
אורח|דרך, נתיב; מנהג
אורחה|שיירה, חבורה של נוסעים בדרך
אזלת יד|חוסר אונים
אח|תנור, קמין
אחרית|סוף
אידוי|הפיכת נוזלים לגז
איחה|חיבר יחד על ידי תפירה, איחד, עשה לאחד
איטר|שמאלי
אילן|עץ
אין בו מתום|מוכה ופצוע
איפה ואיפה|אפליה, משוא פנים
אישש|חיזק, תמך וביסס טענה או תיאוריה
איתן|חזק, יציב, קבוע
אכיפה|כפייה, השלטה של חוק
אכל|כילה, שרף
אלומה|אוסף קרניים, צרור שיבולים, עומר
אלונטית|מגבת
אליבי|טענת נאשם כי היה במקום אחר בעת ביצוע הפשע
אלתר|השתמש במה שנמצא בידיו כדי להכין משהו
אמה|מידת אורך קדומה; האצבע האמצעית ביד
אמיר|צמרת
אמנה|ברית, חוזה
אמש|הלילה שעבר
אמתחת|סל, שק גדול
אמתלה|תירוץ או הסבר דחוק למעשה לא נאה
אנקה|צעקה מתוך כאב או צער
אנקול|וו תלייה
אנשי שלומו|ידידיו, מקורביו
אספלנית|פלסטר, תחבושת
אפוא|אם כן, ובכן, לכן
אפוף|עטוף, מוקף
אפיפית|ביסקוויט, ופל
אפסר|חבל או רצועה המשמשים להובלת בהמה, מושכות
אפרכסת|החלק החיצוני של האוזן הבולט מן הראש
אץ|מיהר, נחפז
אצבעון|כיסוי קטן שמים על האצבע בשעת התפירה
אצטבה|מדף
אצטלה|גלימה
אציל|בן מעמד האצולה, נכבד, חשוב
אריח|לוח מרובע מאבן או מחרסינה לכיסוי רצפה או קירות
