אדן|בסיס, יסוד
אחרית|סוף
אלומה|אוסף קרניים, צרור שיבולים, עומר
אנקה|צעקה מתוך כאב או צער
אצטבה|מדף
את|כלי עבודה המשמש לחפירה
בה בעת|באותו הזמן, באותה השעה
ביבר|גן חיות
בלימה|עצירה, מחסום
בער|חסר דעת, חסר השכלה, בור
ברא|כרת עצים לשם פינוי שטח
גדיד|קטיף טמרים
גזר|חלק, חתיכה
גזרה|תקנה או פקודה שיש בה איסור
גמלוני|גדול, ארוך ומסורבל
גת|בור בו דורכים ענבים
דובב|גרם למישהו לדבר
דלה|שאב, הוציא מהמים
הבליג|התאפק, ריסן את עצמו, שלט ברוחו, נמנע מלהגיב
החניף|שיבח מישהו בפניו כדי למצוא חן בעיניו או כדי להשיג ממנו משהו
היקוות|האספות מים
הלעיז|אמר, כתב או פרסם דברי לעז, לעיתים שקריים, הפוגעים בשמו הטוב של מישהו
הסה|השתיק, הורה לשתוק
העפיל|עלה או טיפס על מקום גבוה, קודם למעמד או עמדה גבוהים יותר ; עלה לשלב או רמה גבוהים יותר, (כשנאמר על מחיר, ערך) האמיר, עלה
הצר|עשה שיהיה צר יותר, הצטער על משהו
השבית|הפסיק לזמן מה את הפעילות של משהו; הורה שלא להשתמש בו, שלא להפעיל אותו וכד'
התהולל|התנהג בצורה פרועה, חסרת רסן, מופקרת או לא מוסרית, בעיקר מבחינה מינית
התנצח|התווכח עם מישהו בתקיפות ובעקשנות, התכתש איתו מילולית, לרוב בשל אמונות שונות או דעות מנוגדות
התרה|הזהיר
זג|קליפת הענב
זרה|פיזר, הפיץ
חזר לסורו|שב למעשיו הרעים
חמלה|רחמים
חרון|כעס, רוגז גדול
טבור|"פופיק", מרכז, אמצע
יצא מכליו|התרתח מאוד, התפרץ
ישימון|ציה, שממה, מדבר
כורח|חוסר ברירה
כמוש|בלוי, נבול, מצומק
כפת|קשר היטב דבר ובעיקר קשר היטב את הידיים או את הרגליים זו לזו
לבל|כדי שלא, פן, שמא
למזער|לכל הפחות
לפת|תפס ואחז בכוח
מבודר|מפוזר
מגרעת|חסרון, פגם, שקע, גומחה
מהל|ערבב נוזל בנוזל אחר, בעיקר במים
מורא|יראה, פחד רב, אימה
מטבל|רוטב סמיך שטובלים בו ירקות וחטיפים טרם אכילתם
מיער|מכוסה יער, שצומחים עליו עצי יער
מסואב|מושחת, מאוס, מלוכלך, מזוהם, טמא
מפורז|מפורק מנשקו
מצנפת|כובע עשוי בד העוטף ומקיף את הראש
משאב|מקור, עתודה, כלל האמצעים שעומדים לרשות גורם כלשהו
משלח יד|מקצוע, עיסוק, עבודה
נאלח|מלוכלך, מזוהם, בזוי, מושחת
נגיש|שאפשר לגשת אליו
נואל|אווילי, טיפשי
נחה דעתו|נרגע, בא על סיפוקו
נטר|שמר
נכלם|נבוך, מבויש
נסק|עלה, גדל, האמיר, ניתק מן הקרקע והתרומם לאוויר
נקעה נפשו|מאס במשהו, בחל במשהו
נתין|אזרח
סהר|ירח, לבנה
סך|משח, מרח בשמן
ספח|צירף, חיבר, הוסיף דבר אחד לדבר אחר
עדי|תכשיט
עילאי|עליון, נעלה, נאצל
עלטה|חושך, אפלה
עני מרוד|עני ביותר
ערבה|ביטחון לכך שמשהו יתקיים או יבוצע כמובטח
עתיר|עשיר, רב, "עתיר נסיון"
פושט יד|עני המבקש נדבות
פך|כלי קטן לנוזלים
פסיקה|מתן פסק דין
פרקדן|שכוב על הגב
צדיה|כוונה רעה, זדון, מזימה
צחיח|יבש, חרב, מחוסר במים
צניפה|צהלת הסוס
קבס|גועל, הרגשת בחילה עד כדי להקיא
קורת רוח|נחת רוח, הנאה, שביעות רצון
קלוש|דליל, חלש, רופף
קסת|דיותה, כלי קיבול לדיו
קרטע|התקדם בחוסר יציבות תוך קפיצות ונדנודים, לרוב עקב צליעה
רדד|הפך דבר מה לשטוח ודק, שיטח
רז|סוד
רעלה|צעיף נשים לכיסוי הפנים
רשף|ניצוץ, גץ
שדוף|נבוב, חסר תוכן, ריק
שטנה|דברי איבה והאשמה
שם פעמיו (אל)|יצא לדרך, הלך לעבר
שעיר לעזאזל|כינוי למי שמשמש קורבן לחטאי אחרים למרות היותו חף מפשע, כינוי למי שמואשם בכישלונותיהם של אחרים, במחדליהם וכד' אף-על-פי שאינו אשם
שררה|שלטון, ממשלה
תהה על קנקנו|בדק את טיבו, חקר את מהותו
תחינה|תפילת בקשה
תעה|שוטט בחיפוש הדרך, איבד את הדרך, סטה מן הדרך המוסרית
תרעמת|תחושת רוגז או טינה, כעס, מורת רוח
אבה|רצה, הסכים
אדרבה|להיפך, למעשה ההפך הוא הנכון
אידוי|הפיכת נוזלים לגז
אלונטית|מגבת
אנקול|וו תליה
אצטלה|גלימה
בא בימים|זקן
בוטה|חריף, נוקב
בית|סיגל בעל חיים לחיים בקרבת האדם, לתועלת האדם
בלית בררה|באין ברירה, כשאין אפשרות אחרת
בפרהסיה|בגלוי, בפומבי
ברי|ברור, ודאי
גדיל|קווצה של חוטים בשולי בגד, מפה וכו', ציצית
גחון|כפוף, שחוח
גמע|לגם, שתה מים או משקה אחר, שמע, הקשיב, האזין בעניין רב
דאבה|יגון, צער
דוברה|רפסודה, אסדה
דלוח|עכור, לא צלול
הבריח|סגר בבריח, נעל
החרמה|לקיחה בכוח של דבר כלשהו מרשות האחר
הכביד את לבו|התעקש
הלעיט|נתן הרבה מאוד מזון ומשקה, מילא בשפע של פרטים, מידע וכד' ללא הבחנה
הנץ|הצמיח ניצנים, החל לפרוח
הסכין|התרגל, הסתגל
הערים|הטעה מישהו, הונה אותו או הוליך אותו שולל על ידי שימוש בתחבולה ובתכסיסים
הצר את צעדיו|הפריע לו, שם בפניו מכשולים
השחיז|ליטש ושייף כלי בכדי להפכו לחד
התחבט|התלבט
התנשא|נע כלפי מעלה
התריס|הביע התרסה, מחאה, טען נגד מישהו
זגג|התקין זגוגית, ציפה בציפוי שקוף (לְזַגֵּג)
זרזיף|זרם, שטף, גשם דק
חזר על הפתחים|הלך מבית לבית
חמס|שוד, גזל
חרי אף|כעס, קצף
טופר|קצות האצבעות של בעלי חיים
ידה|זרק (בעיקר אבנים), השליך או הטיל בכוח למרחק
יצא נפשו אל|התגעגע אל
יתרה מזו|לא זו בלבד אל ש-, לא רק זאת, אלא
כורם|האדם העובד בכרם ענבים
כמרקחה|רוגש, הומה
כקליפת השום|משל לדבר נטול חשיבות
לבן|חימם מתכת באש עד להלבנתה, דן בבעיה, בסוגיה ובירר אותה מכל צדדיה
למכביר|בשפע, הרבה מאוד
לרבות|כולל, וגם, להוסיף
מבוקם|מלא בושם
מדוה|כאב, מחלה
מהמורה|בור, שוחה
מורשה|מיופה כוח
מך|עני, דל, אביון, דלפון, חלכאי, ענו, צנוע
מליצה|ביטוי פיוטי שלא נוהגים להשתמש בו ביומיום
מסוכה|גדר חיה
מפח נפש|אכזבה קשה, יאוש
מקשה|שדה דלועים ( קישועח, אבטיחים וכ׳ד),
משאת נפש|אידיאל, דבר שהאדם שואף אליו
משמים|משועמם, משעמם
נאצה|חרוף, גידוף
נגע|פגע, צרה
נוגה|עצוב, עגום
נחוש|חזק וקשה, כנחושת
ניב|ביטוי
נכמרו רחמיו|התעוררו בליבו רגשי רחמים
נסרת|שבבי עץ קטנטנים ודקים הנופלים בזמן הניסור
נקף|היכה, הקיש, דפק, (נאמר על זמן) עבר, חלף
נתץ|ניפץ, שבר, ריסק
סואן|רועש, הומה
סכך|כיסה בגופו על משהו
סקל|פינה מקום מאבנים, סילק אבנים מהשטח
עוון|חטא, עבירה
עילג|כבד פה, מגמגם, שאינו מדבר ברהיטות
עלץ|שמח, התמלא בתחושה של חדווה והתרוממות רוח
ענק|תכשיט לצוואר, רביד, גדול מאד, עצום
ערה|רוקן על פיו משקה מכוס,
פגע|פגש,
פכפך|נבע, פעפע ויצא, פרץ בזרם עדין, גלים-גלים
פצה (פה)|פתח את פיו כדי לדבר, בייחוד לאחר שתיקה ממושכת
פשה|התפשט, התרחב
צרע|רקה, צד המצח לי האוזן
צחנה|סירחון, ריח רע
צפון|טמון, נסתר, חבוי
קד|השתחווה קלות
קושש|ליקט, אסף
קלח|זרם, נבע, התפרץ, נעשה בשטף, ברצף
קעור|בולט כלפי פנים, בצורת קערה
קרי|דהיינו, כלומר
רדה|שלט ביד חזקה
רחב לב|נדיב לב, אדיב
רף|מדף, אצטבה קטנה
שאון|קול רעש, המולה
שוחר|חובב, ידיד, רוצה בכל ליבו, מבקש
